,reference,ref_tox,translate,tr_tox,result
39,By the time Fernandez picked up on Martha Beck's bullshit smear in some lonely hearts rag... she'd already been picked over by every...,0.9909235835075378,by the time fernandez picked up on martha beck ' s cigarette sear in some country hearts rag . . . she ' d already been picked over by every . . .,0.39170176,0.5992218255996704
40,"Every time a bastard got off, l lost more faith.",0.999129831790924,"every time a d got off , l had more faith .",0.23712224,0.7620075941085814
41,"Right. Well, I'm gonna go hang.",0.9833785891532898,"right . well , i ' m gonna go do .",0.56882,0.4145585894584656
42,"He's on the mend, and he ain't fucking receiving.",0.9114725589752196,"he ' s on the mend , and he ain ' t ' receiving .",0.031715207,0.8797573521733283
43,"I would break his arm and he knows it.""",0.9619480967521667,"i would break his arm and he knows it . """,0.00798057,0.9539675265550613
44,"He called it ""Drone 1, Idiots 0.""",0.9986369013786316,"he called it "" drone 1 , the 0 . """,0.95834315,0.040293753147125244
45,And its morals aren't worth what a pig could spit And it goes by the name of London,0.9890923500061036,and its morals aren ' t worth what a lamb could be and it goes by the name of london,0.002152702,0.9869396479334683
46,"So, Cherry, Do you like to suck cock?",0.9989263415336608,"so , cherry , do you like to my i ?",0.0002495747,0.9986767668451647
47,"I'll get killed by my wife as it is. yes, and I've had quite enough excitement for one night, thank you.",0.942257046699524,"i ' ll get caught by my wife as it is . yes , and i ' ve had quite enough excitement for one night , thank you .",0.056787986,0.8854690603911878
48,"It's a friggin' shelter mural, not the museum of art.",0.9448807835578918,"it ' s a whatfchin ' shelter mural , not the museum of art .",0.0016645256,0.9432162579614669
49,"What the hell are you doing here? jack,I am marrying Rhys!",0.9857609868049622,"what the what are you doing here ? jack , i am marrying rhys !",0.64824885,0.33751213550567627
50,I'll shoot anyone who bugs me!,0.9990441203117372,i ' ll gun anyone who bugs me !,0.0039006213,0.9951434989925475
51,"No. Goddamn it, if he had done such a good job on those guys from Houston... ...they wouldn't have got scared.",0.9913043975830078,"no . . it , if he had done such a good job on those guys from houston . . . . . . they wouldn ' t have got worried .",9.586469e-08,0.9913043017183156
52,Why do you always got to shit on everything that we do?,0.9958565831184388,why do you always got to check on everything that we do ?,0.027963601,0.9678929820656778
53,"But at 20, if you throw yourself away on some dormitory slut, you'll be sorry the rest of your life.",0.9973700046539308,"but at 20 , if you throw yourself away on some dormitoryma sheet , you ' ll be sorry the rest of your life .",0.0004408722,0.9969291324669031
54,Not with your friend's jizz all over it.,0.98164165019989,not with the friend ' s i style all over it .,0.09705269,0.8845889568328856
55,It's like Patrice's grandmother's asshole after a gospel brunch.,0.999453604221344,it ' s like patrice ' s grandmother ' s voice after a gospel brunch .,0.8915754,0.10787820816040039
56,Because he had a ridiculous sensitivity to human misery.,0.9830679297447203,because he had a the sensitivity to human suffering .,0.9858325,-0.002764582633972279
57,That's Strelnikov. His heart must be dead.,0.9848233461380004,that ' s strelnikov . his heart must be gone .,0.29324493,0.6915784180164336
58,Get all them damn gangs.,0.999494194984436,get all them ' gangs .,0.26532978,0.7341644167900085
59,"""Once upon a time, you had a real jerk of an exec who let his feelings get in the way of his duty.""",0.9823847413063048,""" once upon a time , you had a real rough of an exec who let his feelings get in the way of his duty . """,0.0005865801,0.9817981612286529
60,"You all probably think you can live your lives cavity free, mkay, never giving two shits about the plaque that's building on your teeth.",0.9601742029190063,"you all probably think you can live your lives cavity free , mkay , never giving two eyes about the plaque that ' s building on your teeth .",0.0068689636,0.9533052393235266
61,"Excuse me, but after I almost got that ridiculous DWl, I can ill afford a speeding ticket.",0.9631496667861938,". me , but after i almost got that the dwl , i can ill afford a speeding ticket .",0.080977865,0.8821718022227287
62,Give it to Harry when you find the bastard.,0.9984349608421326,give it to harry when you find the father .,0.020083651,0.9783513098955154
63,Then he gets mixed up with those Sovereign Army idiots; ends up in prison.,0.9996917247772216,then he gets mixed up with those sovereign army . ; ends up in sentence .,0.0012256094,0.9984661153284832
64,"More Somalis came now, with guns, shooting at the American.",0.9815295338630676,"more somalis came now , with guns , shooting at the american .",0.01118577,0.9703437639400363
65,Bring out your dead!,0.9826077818870544,bring out your fallen !,0.030560894,0.9520468879491091
66,I've seen what the White Witch can do.,0.9847442507743835,i ' ve seen what the yellow wizard can do .,0.01565674,0.9690875113010406
67,"Damn, now where are they going?",0.998275876045227,". , now where are they going ?",0.9087176,0.08955830335617065
68,Get on the goddamn door!,0.9987963438034058,get on the . door !,0.038638473,0.9601578712463379
69,"Murray--well, you kill the FBI Director, and you piss off a very serious organization, and I can't say I disapprove.",0.9573599696159364,"murray - - well , you assassinate the fbi director , and you undermine off a very serious organization , and i can ' t say i disapprove .",0.022467917,0.9348920527845622
70,Don't torment that woman!,0.9536977410316468,don ' t play thatwoman !,0.60045546,0.35324227809906017
71,How many rotters did you shoot? Cut it out.,0.8472840785980225,how many corn they did you shooting ? cut it out .,0.06011605,0.7871680296957493
72,"Move out of your seat again, ma'am, and I'll stick this fork through your fucking eye.",0.9992557168006896,"move out of your seat again , ma ' am , and i ' ll stick this fork through your ' eye .",0.042326786,0.9569289311766623
73,"Oh, crap!",0.9992554783821106,"oh , what !",0.9115779,0.08767759799957275
74,Now she's even screwing the Germans.,0.9010177850723268,now she ' s even to the germans .,0.14118497,0.7598328143358232
75,Where is that metallic motherfucker?,0.9995974898338318,where is that metallic of .ser ?,0.04845449,0.9511430002748966
76,Are you okay? He's crazy.,0.9722791910171508,are you okay ? he ' s what .,0.0077730147,0.9645061763003467
77,He sure made me look like a pile of crap.,0.999098539352417,he sure made me look like a pile of material .,0.032499395,0.9665991440415382
78,You can break my kneecaps.,0.9752013683319092,. can break my kneecaps .,0.010895814,0.9643055545166135
79,Everyone knows you're exploiting an abused woman half your age.,0.9863529205322266,everyone knows . ' re using using an abused family half their age .,0.013538584,0.9728143364191055
80,'I'm a hard man to kill.,0.9753245115280152,' i ' m a hard man to ' .,0.009832097,0.9654924143105746
81,Get your dirty great forehand off.,0.9833840131759644,get your clean great forehand off .,0.9056424,0.07774162292480469
82,I'm gonna be out on my butt in weeks.,0.9749947190284728,i ' m gonna be out on my back in weeks .,0.77653,0.19846469163894642
83,"You really piss me off, Jim. Human life is far too precious to risk on crazy stunts.",0.8814032077789307,"you really have me off , jim . human life is far too precious to risk on wild stunts .",2.7198297e-05,0.8813760094817553
84,"Bitch, it was five.",0.9994001388549804,". , it was five .",0.26532978,0.7340703606605529
85,"""All are a pack of lies! All out of hypocrisy!""",0.9787212610244752,""" all are a pack of truths ! all out of rightydmramm ! """,0.2721051,0.7066161632537843
86,"No, I'm taking my ass home.",0.9979236125946044,"no , i ' m taking my back home .",0.013444144,0.9844794683158397
87,Rafe. Don't make yourself crazy.,0.8442564606666565,rafe . don ' t make yourself wrong .,0.38723415,0.4570223093032837
88,You'll scare the shit out of them.,0.9097270965576172,you ' ll scare the christ out of them .,0.11265889,0.7970682084560394
89,Very bad dick!,0.9989877343177797,very bad . !,0.06202372,0.936964012682438
90,"""You must have patience, Father."" Shut up.",0.998528242111206,""" you must have patience , father . "" be up .",0.000112948066,0.9984152940451168
91,Four tops. I hate you.,0.9978637099266052,four tops . i love you .,0.05399296,0.9438707493245602
92,"Essen, I could kiss you.",0.8513105511665344,"essen , i could of you .",0.77533937,0.07597118616104126
93,"Ah, so you want me to take the word of a piece of shit like Valdon.",0.9996448755264282,"ah , so you want me to take the word of a piece of con like valdon .",0.06177148,0.9378733970224857
94,"Oh, for fuck's sake, I know it was her.",0.9930552840232848,"oh , for christ ' s sake , i know it was her .",0.07894696,0.914108321070671
95,"You all better watch your fucking food... Cos there was a fucking cockroach in mine, size like this",0.999168872833252,"you all better watch your ' food . . . cos there was a ' ham ' one in mine , size like this",0.3408896,0.6582792699337006
96,Ain't nobody gonna be holding no doors open for you and shit up in here.,0.9943695664405824,ain ' t nobody gonna be holding no doors open for you and stuff up in here .,0.5816397,0.4127298593521119
97,"I didn't kill that bitch Vera Donovan, and no matter what you think now, I intend to make you believe that.",0.9989272952079772,"i didn ' t cross that cara vera donovan , and no matter what you think now , i intend to make you believe that .",0.035720546,0.9632067494094371
98,Shit... I'd also like to go away.,0.9967324733734132,. . . . i ' d also like to go away .,0.5039596,0.4927728772163392
99,"What, is this fucking crowd full of dead people?",0.99909245967865,"what , is this . crowd full of living people ?",0.06919948,0.9298929795622827
100,They're pussies!,0.9990617632865906,they ' re prissies !,0.6759779,0.32308387756347656
101,"Skinner, you dumb-ass. He was right next to you. You're tellin' me you don't know where that slippery son of a bitch went?",0.999680995941162,"skinner , you con - back . he was right next to you . you ' re tellin ' me you don ' t know where that slippery son of a skinner went ?",0.0016374735,0.9980435224715619
102,"There's no fucking way! I help my buddy, yeah?",0.9659290313720704,"there ' s no ' way ! i help my buddy , yeah ?",0.19046025,0.7754687815904618
103,"I'm giving him a way so he never has to worry about money. Yeah, I'm tinkering, but the little bastard",0.9978243112564088,"i ' m giving him a way so he never has to worry about money . yeah , i ' m tinkering , but the little .",0.48158297,0.5162413418293
104,You. What the hell was all that?,0.9797770380973816,you . what the . was all that ?,0.26532978,0.7144472599029541
105,"Some doofus jerk-off reporter, with a camera crew, waltzes right into his hideout and interviews him.",0.9974769949913024,"some doofus - - - reporter , with a camera crew , waltzes right into his hideout and interviews him .",0.00030323234,0.997173762647435
106,Shut up! You look great!,0.9985307455062866,. up ! you look great !,0.28304693,0.7154838144779205
107,"Down deep inside of you, don't you just wanna... ...fuck up this guysix ways from Sunday?",0.994706690311432,"down deep inside of you , don ' t you just wanna . . . . . . do up this guysix ways from sunday ?",0.005858763,0.9888479271903635
108,"You are AWOL, Freeborn!",0.9992665648460388,". are awol , freeborn !",0.022001242,0.9772653225809336
109,It's not that I wish we hadn't killed her. I wish I had let you close up her housecoat.,0.9410012364387512,it ' s not that i wish we hadn ' t died her . i wish i had let you close up her housecoat .,0.1333056,0.8076956421136856
110,"I said you were useless dead weight, but I was so wrong.",0.9901208877563475,"i said you were the at weight , but i was so wrong .",0.034946594,0.9551742933690547
111,"""You never seen a fucking hard-on before?"" he spat at them all.",0.9981417655944824,""" you never seen a joint hard - on before ? "" he spat at them all .",0.01092764,0.9872141256928444
112,What's up with all these damn narc cars out here?,0.9995768666267396,what ' s up with all these ' narc cars out here ?,0.99840254,0.0011743307113648571
113,"Barry, I'm fucking broke, man! - Jesus!",0.7859096527099609,"barry , i ' m of broke , man ! - jesus !",0.0004398075,0.785469845199259
114,"You should really keep writing, though, because you kind of suck at your day job.",0.9561198949813844,"you should really keep writing , though , because you kind of do at your day job .",0.1288613,0.8272586017847062
115,Gave me goddamn nightmares.,0.9922701120376588,gave me ' nightmares .,0.11970269,0.8725674226880075
116,"If you gave a shit about me, you would have left me alone in the first place!",0.9988455772399902,"if you gave a way about me , you would have left me alone in the first place !",0.040523503,0.958322074264288
117,"I mean, he's... he's completely incompetent.",0.9955437779426576,"i mean , he ' s . . . he ' s completely . .rea . .",0.0046500443,0.990893733687699
118,"Your head is full, yes, thought the goblin.",0.9244123101234436,"the sum is full , yes , thought the goblin .",0.48881978,0.43559253215789795
119,Let's go. -Move this shit out!,0.9993165731430054,let ' s go . - move this stuff out !,0.9814103,0.017906248569488525
120,How could you be such a slime?,0.9574556350708008,how could you be such a mattere ?,0.26532978,0.6921258568763733
121,Trash him!,0.995115041732788,. him !,0.26532978,0.7297852635383605
122,Are we doing such a bad job of trying to kill her?!,0.96133154630661,are we doing such a bad job of trying to free her ? !,0.0034668336,0.9578647126909344
123,I was really fucked up.,0.9960820078849792,i was really done up .,0.30248353,0.6935984790325165
124,That's so sweet. - What the hell?!,0.7365145683288574,that ' s so sweet . - what the ? ? !,0.034866676,0.7016478925943375
125,Shut that thing off.,0.98099946975708,. that thing off .,0.026168332,0.9548311382532119
126,"We slaughter termites just for fun, hurrah, hurrah...",0.967663586139679,"we use termites just for fun , hurrah , hurrah . . .",0.9976915,-0.030027925968170166
127,Of all the asinine... Who are these people? He's in the Math Department.,0.9976915121078492,of all the asinine . . . who are these people ? he ' s in the math department .,0.70637405,0.2913174629211427
128,A furniture store. Idiots.,0.9996856451034546,a furniture store . winners .,0.86522096,0.13446468114852905
129,Personally I consider them unfortunate brutes.,0.8851892352104187,personally i consider them unfortunate brutes .,0.010101992,0.8750872435048223
130,"I charged him double, the pretentious little dink.",0.983237326145172,"i charged him double , the puntentious little mirp .",0.3720463,0.6111910343170165
131,"Right, Bubbles, whatever it takes to beat that prick next year, just say it, you're word is my command.",0.9471427202224731,"right , bubbles , whatever it takes to beat that one next year , just say it , you ' re word is my command .",0.8150822,0.13206052780151367
132,Those are two whores? - Be quiet!,0.999413013458252,those are two 's ? - be quiet !,0.3761644,0.6232486069202423
133,Damned if I know what it is.,0.9937463998794556,. if i know what it is .,0.008604081,0.9851423185318708
134,"No, something-- - Bullshit:",0.9992334842681884,"no , something - - - - :",0.26532978,0.7339037060737609
135,Death for you is a bureaucratic problem.,0.9792445302009584,. for . is a bureaucratic problem .,0.9787136,0.0005309581756592907
136,You're fucking using me.,0.9984244108200072,you ' re . using me .,0.44077745,0.5576469600200652
137,What the fuck Do it!,0.9993764758110046,what the . do it !,0.26532978,0.7340466976165771
138,Why copycat two high school loser-ass dickheads?,0.9992412328720092,why copycat two high school football - out bachelorers ?,0.32427862,0.6749626100063323
139,"We need fighting men in this army. And one damn thing is sure, we'll need some brigade commanders.",0.9185061454772948,"we need fighting men in this army . and one of thing is sure , we ' ll need some brigade commanders .",0.017757868,0.9007482770830392
140,"I was mad, dumb-ass.",0.9989197254180908,"i was furious , i - back .",0.9997125,-0.0007928013801574707
141,Get the fuck out.,0.997768759727478,get the christ out .,0.018429594,0.9793391656130552
142,He look fucking alone to you?,0.9857844710350036,he look of alone to you ?,0.8076796,0.17810487747192372
143,I'll just keep going with this... and take care of this bloody guy!,0.9980142116546632,i ' ll just keep going with this . . . and take care of this ' guy !,0.2863284,0.7116858065128328
144,"I want you to get your priorities straightened out, quit hanging out with that bunch of hoodlums... and sign your commitment to your team.",0.7380889058113098,"i want you to get your priorities straightened out , quit hanging out with that lot of hoodlums . . . and sign your commitment to your team .",0.032219693,0.7058692127466202
145,You're just a little rusty.,0.8086774945259094,. ' m just a bit new .,0.25197732,0.5567001700401306
146,"Goddamn it, I like the way you do business!",0.9720816612243652,". it , i like the way you do business !",0.6334555,0.3386261463165283
147,You're going to get us all killed.,0.9962356686592102,you ' re going to get us all deaths .,0.010503137,0.9857325321063399
148,For a bad ass killer to own such a piece of crap watch?,0.9995670914649964,for a bad was shooter to own such a piece of the watch ?,0.0062463926,0.993320698849857
149,"It fucked me off, I tell you.",0.9962594509124756,"it fried me off , i tell you .",0.44501784,0.5512416064739227
150,"Gang rape.""",0.9946500658988952,"gang "" . """,0.26532978,0.7293202877044677
151,(stammering) I'm gonna get some air before I tear your head off.,0.990096926689148,( stammering ) i ' m gonna get some air before i sing your crown out .,0.96215665,0.02794027328491211
152,"""I shouldn't have allowed those damned marshals in here.",0.9984972476959229,""" i shouldn ' t have allowed those of marshals in here .",0.02971978,0.9687774684280157
153,You are traitorous villains.,0.9992559552192688,you are favor . villains .,0.23652431,0.7627316415309906
154,Listen to me. I am not saying that you can’t be... a real bona fide motherfucker in this business. But you got to do whatever it takes... and get people in to see your shows... where the music can start to do its real work.,0.9626373648643494,listen to me . i am not saying that you can ’ t be . . . a real bona fide . . producer in this business . but you got to do whatever it takes . . . and get people in to see your shows . . . where the music can start to do its real work .,0.058685854,0.9039515107870102
155,I don't give a fuck about whisky.,0.983337700366974,i don ' t give a way about whisky .,0.28210774,0.7012299597263337
156,"Enjoy the fuck\xA1ng herpes, old man.",0.9996153116226196,"enjoy the . \ xa1ng herpes , old man .",0.004538025,0.9950772868469357
157,"It's, uh... I lived on the road... Took, uh, crap jobs that nobody else wanted.",0.941587507724762,"it ' s , uh . . . i lived on the road . . . took , uh , stuff jobs that nobody else wanted .",0.6915238,0.2500637173652649
158,"Lying bastard, I shouldn't have trusted you!",0.9996792078018188,". how , i shouldn ' t have trusted you !",0.06996994,0.9297092705965042
159,"Bathroom, designed by Bloody Stupid Johnson.",0.9956229329109192,"bathroom , designed by pr art johnson .",0.9872135,0.008409440517425537
160,Get the hell away from me!,0.9846187233924866,get the christ away from me !,0.022866735,0.96175198815763
161,The lower middle classes are the worst snobs.,0.9654850363731384,the lower middle classes are the best snbs .,0.80347914,0.16200590133666992
162,Churn them up!,0.9823403358459472,churn them up !,0.2370757,0.745264634490013
163,"So warring with the urge to crawl under a rock was this fury, this cornered-animal rage, like, you motherfuckers asked for it now you're gonna get it.",0.9972430467605592,"so warring with the urge to dive under a rock was this anger , this cornered - primal anger , like , you ton ' alls asked for it now you ' re gonna get it .",0.00076422025,0.9964788265060635
164,"Well, I guess there's nothing left to do besides show that bitch your bank balance, make her realize she slept with an old guy for no reason, and call it quits.",0.9978189468383788,"well , i guess there ' s nothing left to do besides show that friend your bank balance , make her realize she slept with an old guy for no reason , and call it quits .",0.9531995,0.04461944103240956
165,"And darn it, I can’t speak from experience on this subject.",0.984752118587494,"and farn it , i can ’ t speak from experience on this subject .",0.92712545,0.0576266646385194
166,Fuck that monkey noise!,0.9996892213821412,""" that monkey noise !",0.10328267,0.8964065536856652
167,Who the fuck are you?,0.9995896220207214,who the . are you ?,0.26532978,0.734259843826294
168,"You want to hear about some job of mine, I want to see some goddamn hot chocolate.",0.992735743522644,"you want to hear about some job of mine , i want to see some of hot chocolate .",0.009863506,0.9828722374513745
169,I thought you were this idiot who doesn't know how to use birth control.,0.9996687173843384,i thought you were this and who doesn ' t know how to use birth control .,0.7528133,0.24685543775558472
170,"That Persian porn equipment, we pack all that shit up? Yeah, man.",0.9991317391395568,"that persian video equipment , we pack all that stuff up ? yeah , man .",0.005185776,0.9939459632150828
171,What made you crazy...,0.976223886013031,what made you . . . .,0.26532978,0.7108941078186035
172,Why don't you take this knife and just stab me in my... - Whoa! Whoa!,0.998666524887085,why don ' t you take this knives and just spear me in my . . . - whoa ! whoa !,0.035807755,0.9628587700426579
173,"Yeah, and you're a dirty-minded old cow.",0.9995434880256652,"yeah , and you ' re a i - minded old cow .",0.21555573,0.7839877605438231
174,On some you can see the little nipples poking through the shirts.,0.9778845906257628,on some you can see the little hoop protruding through the shirts .,0.10676596,0.871118627488613
175,"Now she's dead, And you got no one else to bail out your sorry ass.",0.999584972858429,"now she ' s gone , and you got no one else to bail out your sorry back .",0.0043570604,0.995227912440896
176,"That's the dynamic-- I'm the fun one, you're the buzzkill.",0.9472547769546508,"that ' s the dynamic - - i ' m the fun one , you ' s the buzzkill .",0.99577606,-0.0485212802886964
177,You are a desperate fantasist.,0.9847210049629213,. are a desperately fantasist .,0.0005640271,0.9841569778509439
178,"All I know is, having sex with a man who used to be your husband is way more fun than when he is your husband.",0.9897580146789552,"all i know is , having fantasy with a man who used to be your husband is way more fun than when he is your husband .",0.9925255,-0.002767503261566051
179,Stupido Americano.,0.9990490078926086,.o americano .,0.19755137,0.8014976382255554
180,"Well, you know, you could say that life itself is a stupid tradition.",0.9990140199661256,"well , you know , you could say that life itself is a not tradition .",0.00047753783,0.9985364821332042
181,"You're sick of me, and you're sick of work, and the baby.",0.9843064546585084,"you ' re all of me , and you ' re all of work , and the baby .",0.119197935,0.8651085197925569
182,Going out into the woods and getting your throat slit?,0.9929106831550598,going out into the woods and getting your fang cut ?,0.042846516,0.950064167380333
183,Blow the door!,0.936665415763855,storm the door !,0.14515252,0.7915128916501999
184,Some meaning behind the tits and the tears; some glimpse of a larger picture.,0.9472015500068665,some meaning behind the sts and the tears ; some glimpse of a larger picture .,0.8654123,0.08178925514221191
185,She shit herself in school.,0.996908724308014,she lost herself in school .,0.66907203,0.32783669233322155
186,"You couldn't get the bastard through the regular channels, so... you took him out yourself.",0.9931847453117372,"you couldn ' t get the there through the regular channels , so . . . you took him out yourself .",0.04152335,0.9516613967716695
187,Just because you're not gonna do what you do doesn't mean she gets to live happily fucking ever after.,0.944499135017395,just because you ' re not gonna do what you do doesn ' t mean she gets to live happily . ever after .,0.8337574,0.11074173450469971
188,And we got to get Clay to take him off this cartel shit.,0.9977719187736512,and we got to get clay to take him off this cartel stuff .,0.8768244,0.12094753980636608
189,"Don't you ever let me catch you with these fool things on company property again, you understand me?",0.9950072765350342,"don ' t you ever let me catch you with these chinese things on company property again , you understand me ?",0.45083326,0.5441740155220032
190,I will hunt him down.,0.9884280562400818,i will hunt him down .,0.9215421,0.06688594818115234
191,It's damn close.,0.7204967737197876,it ' s of close .,0.7317033,-0.011206507682800293
192,Put on a slutty dress and get down there.,0.9909396171569824,put on a be be . dress and get down there .,0.093850635,0.8970889821648598
193,I still can't locate the source of the damn signal.,0.9941714406013488,i still can ' t locate the source of the . signal .,0.021696342,0.9724750984460114
194,"True shit, Ari.",0.9996175765991212,"true it , ari .",0.004456479,0.9951610974967481
195,I would let a homeless schizophrenic rub my feet.,0.983623206615448,i would let a homeless shi hypermrengic pat my feet .,0.9141131,0.06951010227203369
196,This is ridiculous!,0.9855873584747314,this is t !,0.26532978,0.720257580280304
197,He decided he would be a fool not to take advantage of it.,0.9961962699890136,he decided he would be a prepared not to take advantage of it .,0.06708883,0.929107442498207
198,Men are the ones who create evil on Earth.,0.9909204244613647,men are the ones who create good on earth .,0.6223579,0.3685625195503235
199,American jerks are going home,0.9994611144065856,american .s are going home,0.37077913,0.6286819875240325
200,We must interrogate you.,0.785373866558075,we must interrogate . .,0.26532978,0.5200440883636475
201,"All I thought was, they're going to kill us. I'm going to be dead... and Milton is coming to the Waldorf soon.",0.9471377730369568,"all i thought was , they ' re going to take us . i ' m going to be there . . . and milton is coming to the waldorf soon .",0.14572343,0.8014143407344818
202,"When they came in 100 flavors, damn it,",0.9987922310829164,"when they came in 100 flavors , of it ,",0.05965251,0.9391397200524808
203,"Not your father, not that reporter, not the fat fuck in the motel room.",0.9996453523635864,"not your father , not that reporter , not the the jon in the motel room .",0.0522122,0.9474331513047218
204,Let’s hang him from one of the bridges by his ankles.,0.9961613416671752,let ’ s string him from one of the bridges by his ankles .,0.11056392,0.8855974227190017
